Term Term_Frequency
capability 25
analytic 25
cannot 25
references 25
segments 25
increased 25
plotting 24
reducing 24
due 24
clustering 24
multiprogrammed 24
etc 24
structural 24
schemes 24
ph 24
coded 24
sentence 24
done 24
contains 24
now 24
starting 24
vector 24
details 24
requests 24
established 24
calculations 24
improvements 24
controlled 24
simultaneously 24
comment 24
involves 24
ease 24
added 24
shared 24
representations 24
brief 24
calculus 24
intended 24
derivation 24
reviewed 24
redundancy 23
compact 23
construct 23
maps 23
loops 23
es 23
executed 23
continued 23
universities 23
analytical 23
ones 23
knuth 23
overall 23
round-off 23
operational 23
importance 23
classification 23
above 23
determined 23
chosen 23
undergraduate 23
account 23
global 23
linguistics 23
therefore 23
advanced 23
operate 23
6.21 23
hand 23
switching 23
increasing 23
density 23
authors 23
5.21 23
who 23
man-machine 23
separate 23
edges 23
entire 23
philosophy 23
regression 23
4.31 23
4.33 23
laboratory 23
tridiagonal 23
pass 23
family 23
indicated 23
developments 23
segment 23
groups 23
divided 23
card 23
third 22
impact 22
configuration 22
completely 22
faster 22
phase 22
almost 22
earlier 22
had 22
preparation 22
situations 22
describing 22
nested 22
1982 22
monte 22
open 22
solved 22
lower 22
raster 22
selected 22
standardization 22
flowcharts 22
sampling 22
images 22
converting 22
government 22
extensive 22
loop 22
via 22
4.3 22
operator 22
interpretation 22
closed 22
examination 22
principles 22
commands 22
traffic 22
successive 22
optimizing 22
3.64 22
principle 22
3.80 22
principal 22
music 22
minimize 22
recurrence 22
desirable 22
demonstrated 22
eigenvectors 22
relevant 22
meaning 21
updating 21
incomplete 21
placed 21
plus 21
quicksort 21
performing 21
school 21
early 21
probabilities 21
linked 21
facilitate 21
mechanical 21
cycle 21
overhead 21
sparse 21
proper 21
reliable 21
flexibility 21
proposal 21
executive 21
assertions 21
serial 21
accurate 21
1.3 21
representing 21
fields 21
privacy 21
units 21
vectors 21
inference 21
simpson 21
console 21
upper 21
computer-aided 21
estimation 21
technical 21
slow 21
essential 21
vertices 21
modules 21
structuring 21
elliptic 21
weighted 21
measurements 21
complement 21
name 21
drawn 21
polyphase 21
reported 20
existence 20
seems 20
evidence 20
extent 20
simplification 20
measure 20
multiprocessor 20
limitations 20
bessel 20
digits 20
intersection 20
employment 20
inverted 20
time-shared 20
divisor 20
own 20
recovery 20
curves 20
commonly 20
always 20
stable 20
deterministic 20
priority 20
formac 20
flowchart 20
portion 20
attention 20
analyzing 20
become 20
usual 20
write 20
approximately 20
according 20
educational 20
decisions 20
synthesis 20
diagrams 20
dijkstra 20
3.65 20
considerations 20
carlo 20
remarks 20
storing 20
queries 20
interface 20
requiring 20
environments 20
represent 20
currently 20
accesses 20
call 20
capable 20
explained 20
role 19
short 19
specifically 19
produces 19
e2 19
terminology 19
author 19
ts 19
reports 19
article 19
difficulties 19
objective 19
floyd 19
lengths 19
multics 19
paths 19
mapping 19
intervals 19
merging 19
overflow 19
consideration 19
significantly 19
like 19
answering 19
serve 19
romberg 19
s15 19
surfaces 19
splines 19
execute 19
preliminary 19
exists 19
factorization 19
summation 19
evaluated 19
topological 19
tools 19
underlying 19
primitives 19
definite 19
deletion 19
calculated 19
circuits 19
reconstruction 19
especially 19
3.24 19
3.71 19
high-level 19
constructs 19
selecting 19
pages 19
shift 19
edge 19
primarily 19
public 19
item 19
naur 19
auxiliary 19
two-dimensional 18
linkage 18
improving 18
far 18
memories 18
sums 18
assumption 18
intermediate 18
discipline 18
transformational 18
investigation 18
drive 18
once 18
lead 18
successfully 18
implement 18
others 18
conjunction 18
improve 18
situation 18
printed 18
becomes 18
differentiation 18
though 18
theorems 18
attribute 18
depends 18
enables 18
period 18
position 18
simulations 18
herndon 18
suited 18
created 18
schedule 18
yields 18
developing 18
simulated 18
purposes 18
6.2 18
yet 18
defining 18
resolution 18
exclusion 18
phrase 18
plane 18
restrictions 18
interesting 18
braille 18
legal 18
tool 18
formulation 18
modifications 18
displayed 18
encountered 18
electronic 18
increases 18
column 18
essentially 18
subsets 18
taylor 18
copying 17
bank 17
partition 17
computationally 17
proportional 17
end 17
needs 17
g5 17
certification 17
convex 17
algorithmic 17
actually 17
criterion 17
parsers 17
telephone 17
contain 17
descriptive 17
greatest 17
tutorial 17
law 17
fully 17
conventions 17
aids 17
morris 17
academic 17
training 17
3.5 17
van 17
instead 17
noted 17
rates 17
5.10 17
great 17
5.6 17
help 17
enumeration 17
names 17
objectives 17
4.10 17
manual 17
takes 17
sequencing 17
demonstrate 17
3.66 17
coulomb 17
pair 17
papers 17
messages 17
strategies 17
chaining 17
punched 17
tapes 17
implicit 17
2.11 17
implementations 17
satisfactory 17
displays 17
date 17
applicability 17
normally 17
already 17
simplex 17
avl 17
cosine 17
enough 17
greatly 17
digit 17
parallelism 17
derive 17
arguments 17
cdc 16
monitors 16
static 16
brown 16
status 16
equivalence 16
progress 16
list-processing 16
inductive 16
effectively 16
multidimensional 16
ij 16
sophisticated 16
accounting 16
denning 16
linguistic 16
able 16
difficulty 16
transforms 16
parse 16
heuristics 16
experiment 16
timetable 16
develop 16
relaxation 16
abstractions 16
hidden 16
rounding 16
lexical 16
restriction 16
reorganization 16
correspondence 16
conclusions 16
substitution 16
truncation 16
convenient 16
s22 16
summary 16
timing 16
7094 16
polygon 16
filon 16
6.34 16
services 16
nonprocedural 16
built 16
complicated 16
usa 16
stochastic 16
administration 16
might 16
integrated 16
prove 16
consecutive 16
arise 16
8.3 16
configurations 16
variation 16
alternatives 16
match 16
balanced 16
past 16
wirth 16
background 16
quality 16
geometry 16
general-purpose 16
significance 16
paged 16
dictionary 16
documents 16
nearly 16
explicitly 16
considerable 16
subexpressions 16
producing 16
feasible 16
immediate 16
smaller 16
overlay 16
deal 16
viewed 16
hoare 16
coordinate 16
graham 16
numerically 15
incorporating 15
colleges 15
mixed 15
communicating 15
ambiguity 15
pseudorandom 15
scanning 15
last 15
bell 15
inputs 15
style 15
retrieving 15
queue 15
circular 15
orders 15
registers 15
eliminate 15
encryption 15
simplicity 15
determines 15
investigated 15
straightforward 15
george 15
connection 15
allowing 15
compatibility 15
light 15
interrupt 15
consider 15
nondeterministic 15
scope 15
row 15
strong 15
distinct 15
bellman 15
satisfy 15
pseudo-random 15
2.0 15
2.2 15
2.3 15
measures 15
conceptual 15
operates 15
unique 15
learn 15
share 15
supervisor 15
clipping 15
5.22 15
manipulating 15
policies 15
boothroyd 15
combining 15
things 15
action 15
4.43 15
4.40 15
presentation 15
geometric 15
comparative 15
3.20 15
declarations 15
goals 15
substantial 15
appear 15
sciences 15
2.12 15
analyses 15
members 15
people 15
designing 15
derivative 15
simply 15
counts 15
readers 14
pike 14
savings 14
characterized 14
68 14
shortest 14
cell 14
extend 14
e4 14
f1 14
plot 14
go 14
else 14
m1 14
evolution 14
corporation 14
summarized 14
radix 14
secure 14
editor 14
guidelines 14
curricula 14
topics 14
classical 14
vocabulary 14
world 14
tabular 14
inclusion 14
down 14
cells 14
interpretive 14
designs 14
cycles 14
transaction 14
precise 14
compiled 14
employs 14
except 14
incremental 14
building 14
six 14
ten 14
projection 14
harmonic 14
measured 14
quantities 14
comparable 14
drawing 14
variations 14
4.1 14
shape 14
transposition 14
gautschi 14
accomplished 14
expansion 14
addresses 14
changing 14
suggestions 14
calls 14
removal 14
growth 14
probabilistic 14
directory 14
yield 14
notion 14
offered 14
subsequent 14
sign 14
3.59 14
3.62 14
assigned 14
directions 14
tensor 14
positions 14
multilevel 14
2.43 14
partially 14
department 14
implies 14
pricing 14
extraction 14
assumptions 14
deviation 14
microprogramming 14
recorded 14
maintaining 14
overlap 14
first-fit 14
handled 14
galler 14
argument 14
carried 14
skeleton 13
consistency 13
compare 13
mask 13
near 13
packet 13
generates 13
plots 13
economic 13
f4 13
readily 13
calendar 13
periodic 13
pointers 13
reverse 13
calculating 13
interpreters 13
today 13
formulated 13
utilized 13
comparing 13
left 13
legendre 13
miss 13
zero-one 13
man 13
received 13
mckay 13
prepared 13
volume 13
normalization 13
eliminated 13
markov 13
logarithm 13
contained 13
traditional 13
off 13
axioms 13
assist 13
medium 13
kinds 13
represents 13
embedded 13
perspective 13
dependent 13
conducted 13
frequencies 13
compares 13
systematic 13
1.2 13
100 13
interpreter 13
idea 13
fault 13
n-dimensional 13
log2 13
approximating 13
layout 13
usefulness 13
monitoring 13
technological 13
5.1 13
strongly 13
chain 13
cover 13
binding 13
united 13
synthetic 13
place 13
pushdown 13
society 13
identical 13
macros 13
availability 13
3.89 13
compile 13
chess 13
moving 13
poisson 13
hierarchies 13
semaphores 13
keyboard 13
capacity 13
height-balanced 13
locations 13
simplified 13
inherent 13
correctly 13
polygonal 13
loading 13
true 13
reasons 13
update 13
constants 13
packages 13
successful 13
goal 13
floating 13
productions 12
creation 12
widely 12
computerized 12
treatment 12
showing 12
64 12
mark 12
typewriter 12
bemer 12
recommended 12
c6 12
lu 12
extremely 12
qr 12
x3 12
williams 12
snobol 12
numeric 12
products 12
gotlieb 12
compatible 12
identify 12
longer 12
turing 12
conflicts 12
moore 12
multivariate 12
evaluate 12
entries 12
linking 12
incorporated 12
turnaround 12
domains 12
redundant 12
frame 12
examinations 12
extensible 12
none 12
followed 12
organized 12
one-sided 12
writers 12
price 12
moreover 12
avoid 12
satisfied 12
figure 12
smooth 12
2.1 12
introducing 12
asymptotic 12
later 12
propagation 12
perlis 12
industry 12
cubic 12
loss 12
projections 12
restructuring 12
organizing 12
5.9 12
head 12
conversational 12
top-down 12
boundary-value 12
detecting 12
accurately 12
somewhat 12
3.75 12
employing 12
letters 12
encipherment 12
sections 12
still 12
logarithmic 12
revised 12
estimating 12
residue 12
best-fit 12
indicates 12
visible 12
necessarily 12
selective 12
designer 12
diagnosis 12
2.44 12
considerably 12
modular 12
concluded 12
quotient 12
pert 12
resultant 12
valuable 12
jump 12
population 12
reduces 12
mentioned 12
latter 12
jacobi 12
occurrences 12
pairs 12
substantially 12
motion 12
q 11
women 11
specialized 11
attitudes 11
schwartz 11
contents 11
arrangement 11
examines 11
coefficient 11
teractive 11
stated 11
economy 11
community 11
mckeeman 11
occurs 11
valid 11
specifying 11
argued 11
nonrecursive 11
f2 11
formalism 11
create 11
cellular 11
lack 11
measuring 11
counting 11
euler 11
diverse 11
deals 11
answer 11
spectral 11
master 11
coordination 11
roundoff 11
simulating 11
fewer 11
threaded 11
plotter 11
hypothesis 11
hence 11
vehicle 11
bivariate 11
feedback 11
solid 11
realized 11
merit 11
depending 11
signal 11
spelling 11
convert 11
supervisory 11
mix 11
proposals 11
attempts 11
dimensions 11
transcendental 11
problem-oriented 11
manipulate 11
covariance 11
permitted 11
blind 11
clark 11
practice 11
workspace 11
comm 11
variable-length 11
considers 11
discuss 11
neither 11
executing 11
simplify 11
outline 11
caused 11
dual 11
physics 11
interactions 11
minimized 11
minimizes 11
obvious 11
regard 11
speech 11
possibly 11
forward 11
observed 11
interpretations 11
sufficiently 11
allowed 11
slightly 11
collins 11
pertinent 11
neliac 11
feasibility 11
finite-state 11
familiar 11
political 11
similarity 11
queues 11
union 11
channel 11
focus 11
separately 11
dimension 11
active 11
lexicographic 11
accepts 11
factorial 11
coroutines 11
contexts 11
singleton 11
invariant 11
runge-kutta 11
well-known 11
possibility 11
3.36 11
statistically 11
designers 11
whole 11
leading 11
slip 11
johnson 11
lambda 11
exist 11
avoiding 11
rectangle 11
cause 11
polygons 11
processed 11
typesetting 11
ambiguities 11
fisher 11
simpler 11
triangular 11
syntax-directed 11
authentication 11
comprehensive 11
modes 11
suggest 11
independently 11
automation 10
defines 10
relph 10
topology 10
expressing 10
relate 10
key-to-address 10
trial 10
presently 10
mappings 10
urban 10
experimentation 10
enabling 10
hb 10
failure 10
reading 10
1401 10
asynchronous 10
understand 10
analyze 10
him 10
fairly 10
adapted 10
impacts 10
high-speed 10
distance 10
freedom 10
performs 10
searched 10
variant 10
question-answering 10
irons 10
led 10
robinson 10
exactly 10
deducom 10
discrimination 10
barnett 10
driven 10
remainder 10
decrease 10
furthermore 10
cyclic 10
portable 10
treated 10
permitting 10
filtering 10
giving 10
clear 10
devised 10
mainly 10
disadvantages 10
extrapolation 10
x-ray 10
appendix 10
prevent 10
benefits 10
negative 10
king 10
collector 10
interpreted 10
review 10
atlas 10
tedious 10
unknown 10
bray 10
revealed 10
entities 10
transformed 10
achieving 10
predicates 10
specify 10
5.42 10
illiac 10
never 10
limit 10
heat 10
compressed 10
know 10
held 10
depth 10
located 10
introduces 10
formats 10
univac 10
divisors 10
entirely 10
keyword 10
illustrative 10
count 10
sensitive 10
explored 10
4.11 10
4.21 10
exhaustive 10
gauss 10
college 10
animation 10
maintained 10
avoids 10
working-set 10
corresponds 10
waveform 10
fraction 10
informal 10
applies 10
consisting 10
check 10
3.10 10
institutions 10
3.60 10
economical 10
separation 10
formation 10
ambiguous 10
boundaries 10
whereas 10
serves 10
dealing 10
historical 10
stores 10
absolute 10
alternate 10
conway 10
theorem-proving 10
widespread 10
productivity 10
conference 10
fractions 10
bayer 10
simplifies 10
facts 10
applying 10
ciphers 10
lattice 10
demonstrates 10
trace 10
exchange 10
accessed 10
two-point 10
1.50 10
devoted 10
deductive 10
overcome 10
responses 10
indirect 10
serious 9
gorn 9
additions 9
circumstances 9
maximal 9
dec 9
deriving 9
predicate 9
67 9
80 9
edp 9
overdetermined 9
remain 9
nets 9
continuously 9
locality 9
c2 9
c5 9
notions 9
panel 9
develops 9
likely 9
lp 9
vs 9
coffman 9
recognized 9
reader 9
regional 9
laplace 9
extra 9
diagram 9
hansen 9
governments 9
dynamically 9
regarded 9
fresnel 9
biological 9
international 9
beta 9
pieces 9
enable 9
perfect 9
rejection 9
lookup 9
buffering 9
centers 9
coupled 9
throughput 9
worst 9
augmented 9
split 9
crout 9
vary 9
weak 9
adequate 9
deadlocks 9
noise 9
translated 9
linearly 9
traversal 9
disks 9
prevention 9
faculty 9
large-scale 9
reeves 9
ideal 9
resident 9
association 9
specifies 9
signature 9
tabulated 9
preprocessor 9
supported 9
compaction 9
modern 9
otherwise 9
market 9
thompson 9
magic 9
efforts 9
slower 9
organizational 9
latency 9
minimax 9
funds 9
two-level 9
planar 9
utilizing 9
rca 9
shallow 9
computer-based 9
exit 9
indexes 9
assuming 9
saving 9
move 9
pollack 9
fishman 9
manager 9
subprograms 9
6.22 9
6.32 9
hirschberg 9
growing 9
tag 9
illustrates 9
complementary 9
synchronizing 9
banks 9
load 9
3.2 9
301 9
logn 9
establishment 9
provision 9
pdp-10 9
accumulators 9
accomplish 9
bobrow 9
maintain 9
monotonic 9
leads 9
5.29 9
green 9
disciplines 9
gain 9
predictive 9
multiplexing 9
simulator 9
singular 9
seek 9
reasonable 9
reasonably 9
changed 9
addressed 9
arcs 9
6.0 9
novel 9
6.9 9
subsystems 9
logically 9
twice 9
opportunity 9
beginning 9
pointed 9
thereby 9
simscript 9
independence 9
folding 9
stages 9
wallace 9
factoring 9
6600 9
side 9
powers 9
composite 9
optimality 9
informally 9
compiler-compiler 9
balancing 9
infinite 9
combinatorics 9
versus 9
constraint 9
3.17 9
3.34 9
3.57 9
3.53 9
3.52 9
3.69 9
phrases 9
adding 9
varied 9
depend 9
stiff 9
formalization 9
parnas 9
identifying 9
