DocumentId Total_Terms Document_Length
CACM-0466 18 18
CACM-0467 20 20
CACM-0468 19 19
CACM-0469 18 18
CACM-0470 19 19
CACM-0471 16 17
CACM-0472 18 18
CACM-0473 16 16
CACM-0474 18 18
CACM-0475 20 20
CACM-0476 20 20
CACM-0477 21 21
CACM-0478 16 16
CACM-0479 47 65
CACM-0480 21 21
CACM-0481 28 28
CACM-0482 21 21
CACM-0483 44 59
CACM-0484 18 18
CACM-0485 22 22
CACM-0486 18 18
CACM-0487 16 16
CACM-0488 22 23
CACM-0489 23 25
CACM-0490 19 19
CACM-0491 27 28
CACM-0492 77 110
CACM-0493 23 23
CACM-0494 31 32
CACM-0495 88 137
CACM-0496 22 22
CACM-0497 110 188
CACM-0498 19 19
CACM-0499 18 18
CACM-0500 17 17
CACM-0501 17 17
CACM-0502 18 18
CACM-0503 23 23
CACM-0504 17 17
CACM-0505 18 18
CACM-0506 17 17
CACM-0507 21 21
CACM-0508 17 17
CACM-0509 17 17
CACM-0510 21 21
CACM-0511 21 21
CACM-0512 19 19
CACM-0513 17 17
CACM-0514 17 17
CACM-0515 22 22
CACM-0516 18 18
CACM-0517 21 21
CACM-0518 20 20
CACM-0519 20 20
CACM-0520 18 18
CACM-0521 17 17
CACM-0522 20 20
CACM-0523 17 17
CACM-0524 21 21
CACM-0525 22 22
CACM-0526 18 18
CACM-0527 74 131
CACM-0528 19 19
CACM-0529 24 24
CACM-0530 23 23
CACM-0531 139 218
CACM-0532 25 25
CACM-0533 104 164
CACM-0534 20 20
CACM-0535 25 25
CACM-0536 91 151
CACM-0537 36 38
CACM-0538 25 25
CACM-0539 23 23
CACM-0540 22 23
CACM-0541 18 19
CACM-0542 17 17
CACM-0543 19 19
CACM-0544 20 20
CACM-0545 25 25
CACM-0546 23 23
CACM-0547 20 20
CACM-0548 22 22
CACM-0549 23 23
CACM-0550 23 23
CACM-0551 22 23
CACM-0552 19 19
CACM-0553 24 24
CACM-0554 20 20
CACM-0555 18 18
CACM-0556 20 22
CACM-0557 16 16
CACM-0558 70 110
CACM-0559 21 21
CACM-0560 18 18
CACM-0561 22 23
CACM-0562 17 17
CACM-0563 17 17
CACM-0564 16 17
CACM-0565 16 16
CACM-0566 18 18
CACM-0567 20 21
CACM-0568 20 21
CACM-0569 17 17
CACM-0570 20 20
CACM-0571 22 22
CACM-0572 21 21
CACM-0573 21 21
CACM-0574 23 23
CACM-0575 22 22
CACM-0576 18 18
CACM-0577 16 16
CACM-0578 21 21
CACM-0579 16 16
CACM-0580 19 19
CACM-0581 19 20
CACM-0582 17 17
CACM-0583 21 21
CACM-0584 21 21
CACM-0585 128 189
CACM-0586 24 24
CACM-0587 18 18
CACM-0588 17 17
CACM-0589 22 22
CACM-0590 22 22
CACM-0591 27 27
CACM-0592 17 17
CACM-0593 21 21
CACM-0594 21 22
CACM-0595 84 117
CACM-0596 42 55
CACM-0597 21 21
CACM-0598 48 63
CACM-0599 19 19
CACM-0600 22 22
CACM-0601 25 25
CACM-0602 16 16
CACM-0603 19 19
CACM-0604 16 16
CACM-0605 70 98
CACM-0606 26 26
CACM-0607 17 17
CACM-0608 21 21
CACM-0609 17 17
CACM-0610 16 17
CACM-0611 17 18
CACM-0612 21 21
CACM-0613 17 17
CACM-0614 19 19
CACM-0615 84 135
CACM-0616 157 252
CACM-0617 58 72
CACM-0618 41 48
CACM-0619 110 155
CACM-0620 16 17
CACM-0621 18 19
CACM-0622 19 20
CACM-0623 19 20
CACM-0624 19 20
CACM-0625 20 21
CACM-0626 30 39
CACM-0627 15 16
CACM-0628 21 24
CACM-0629 19 20
CACM-0630 62 85
CACM-0631 20 21
CACM-0632 26 28
CACM-0633 29 32
CACM-0634 19 19
CACM-0635 19 20
CACM-0636 19 19
CACM-0637 105 170
CACM-0638 23 23
CACM-0639 19 19
CACM-0640 22 22
CACM-0641 20 20
CACM-0642 18 18
CACM-0643 26 28
CACM-0644 77 130
CACM-0645 19 19
CACM-0646 23 24
CACM-0647 22 22
CACM-0648 17 17
CACM-0649 18 18
CACM-0650 21 21
CACM-0651 22 22
CACM-0652 21 21
CACM-0653 27 27
CACM-0654 21 21
CACM-0655 56 66
CACM-0656 25 25
CACM-0657 23 23
CACM-0658 27 28
CACM-0659 20 20
CACM-0660 22 22
CACM-0661 33 36
CACM-0662 18 18
CACM-0663 16 16
CACM-0664 17 17
CACM-0665 17 17
CACM-0666 21 21
CACM-0667 18 18
CACM-0668 20 20
CACM-0669 18 18
CACM-0670 153 242
CACM-0671 69 120
CACM-0672 21 21
CACM-0673 19 19
CACM-0674 31 34
CACM-0675 124 195
CACM-0676 23 24
CACM-0677 75 106
CACM-0678 58 85
CACM-0679 79 130
CACM-0680 18 18
CACM-0681 24 24
CACM-0682 19 19
CACM-0683 21 21
CACM-0684 20 20
CACM-0685 19 19
CACM-0686 16 16
CACM-0687 18 18
CACM-0688 22 22
CACM-0689 35 40
CACM-0690 24 24
CACM-0691 57 71
CACM-0692 21 21
CACM-0693 54 70
CACM-0694 45 66
CACM-0695 124 196
CACM-0696 103 160
CACM-0697 31 32
CACM-0698 63 85
CACM-0699 56 67
CACM-0700 18 18
CACM-0701 18 18
CACM-0702 18 18
CACM-0703 17 17
CACM-0704 29 35
CACM-0705 25 25
CACM-0706 19 19
CACM-0707 17 17
CACM-0708 22 22
CACM-0709 16 16
CACM-0710 18 18
CACM-0711 18 18
CACM-0712 18 18
CACM-0713 18 18
CACM-0714 16 16
CACM-0715 19 19
CACM-0716 15 15
CACM-0717 52 82
CACM-0718 37 41
CACM-0719 76 104
CACM-0720 22 24
CACM-0721 45 62
CACM-0722 17 17
CACM-0723 16 16
CACM-0724 134 216
CACM-0725 18 18
CACM-0726 52 62
CACM-0727 59 73
CACM-0728 72 91
CACM-0729 17 17
CACM-0730 72 105
CACM-0731 73 109
CACM-0732 19 19
CACM-0733 22 23
CACM-0734 23 23
CACM-0735 22 22
CACM-0736 20 20
CACM-0737 19 19
CACM-0738 18 18
CACM-0739 17 17
CACM-0740 17 17
CACM-0741 19 19
CACM-0742 19 19
CACM-0743 16 16
CACM-0744 18 18
CACM-0745 17 17
CACM-0746 17 17
CACM-0747 22 22
CACM-0748 23 23
CACM-0749 17 17
CACM-0750 18 18
CACM-0751 23 24
CACM-0752 19 19
CACM-0753 28 28
CACM-0754 17 17
CACM-0755 71 100
CACM-0756 22 23
CACM-0757 19 19
CACM-0758 40 51
CACM-0759 66 91
CACM-0760 17 17
CACM-0761 54 68
CACM-0762 23 23
CACM-0763 28 28
CACM-0764 23 23
CACM-0765 22 22
CACM-0766 18 18
CACM-0767 37 47
CACM-0768 34 37
CACM-0769 19 19
CACM-0770 20 20
CACM-0771 20 20
CACM-0772 19 20
CACM-0773 17 17
CACM-0774 16 16
CACM-0775 20 20
CACM-0776 24 24
CACM-0777 20 20
CACM-0778 27 27
CACM-0779 19 19
CACM-0780 26 27
CACM-0781 18 18
CACM-0782 18 18
CACM-0783 16 16
CACM-0784 17 17
CACM-0785 24 24
CACM-0786 20 21
CACM-0787 17 17
CACM-0788 26 26
CACM-0789 17 17
CACM-0790 16 16
CACM-0791 18 19
CACM-0792 25 26
CACM-0793 17 17
CACM-0794 50 65
CACM-0795 22 23
CACM-0796 137 207
CACM-0797 17 17
CACM-0798 19 19
CACM-0799 57 75
CACM-0800 24 27
CACM-0801 20 21
CACM-0802 15 15
CACM-0803 17 17
CACM-0804 20 20
CACM-0805 17 17
CACM-0806 20 20
CACM-0807 19 19
CACM-0808 18 18
CACM-0809 17 17
CACM-0810 18 18
CACM-0811 18 18
CACM-0812 17 17
CACM-0813 20 20
CACM-0814 19 19
CACM-0815 20 20
CACM-0816 20 20
CACM-0817 16 16
CACM-0818 23 23
CACM-0819 17 17
CACM-0820 19 19
CACM-0821 21 21
CACM-0822 38 46
CACM-0823 24 24
CACM-0824 75 121
CACM-0825 65 82
CACM-0826 22 22
CACM-0827 29 30
CACM-0828 37 41
CACM-0829 23 24
CACM-0830 20 21
CACM-0831 21 21
CACM-0832 19 19
CACM-0833 22 22
CACM-0834 20 21
CACM-0835 21 21
CACM-0836 20 20
CACM-0837 19 19
CACM-0838 19 19
CACM-0839 21 21
CACM-0840 20 20
CACM-0841 21 21
CACM-0842 21 24
CACM-0843 16 16
CACM-0844 18 18
CACM-0845 20 20
CACM-0846 17 17
CACM-0847 27 31
CACM-0848 67 84
CACM-0849 101 187
CACM-0850 57 74
CACM-0851 73 109
CACM-0852 23 24
CACM-0853 18 18
CACM-0854 93 164
CACM-0855 71 123
CACM-0856 64 83
CACM-0857 38 44
CACM-0858 59 83
CACM-0859 16 16
CACM-0860 48 72
CACM-0861 70 104
CACM-0862 21 21
CACM-0863 15 16
CACM-0864 21 21
CACM-0865 78 113
CACM-0866 16 17
CACM-0867 97 152
CACM-0868 28 29
CACM-0869 19 19
CACM-0870 21 21
CACM-0871 18 18
CACM-0872 23 23
CACM-0873 18 18
CACM-0874 18 18
CACM-0875 21 21
CACM-0876 18 19
CACM-0877 24 24
CACM-0878 23 23
CACM-0879 23 23
CACM-0880 21 21
CACM-0881 22 22
CACM-0882 18 18
CACM-0883 20 20
CACM-0884 27 28
CACM-0885 19 19
CACM-0886 18 18
CACM-0887 31 38
CACM-0888 27 28
CACM-0889 21 21
CACM-0890 35 40
CACM-0891 78 109
CACM-0892 60 86
CACM-0893 67 93
CACM-0894 73 104
CACM-0895 29 39
CACM-0896 20 21
CACM-0897 26 29
CACM-0898 16 17
CACM-0899 18 19
CACM-0900 17 18
CACM-0901 18 19
CACM-0902 16 17
CACM-0903 18 19
CACM-0904 18 19
CACM-0905 18 19
CACM-0906 19 20
CACM-0907 19 20
CACM-0908 17 18
CACM-0909 18 19
CACM-0910 19 20
CACM-0911 19 20
CACM-0912 25 26
CACM-0913 14 15
CACM-0914 17 18
CACM-0915 15 16
CACM-0916 14 15
CACM-0917 14 15
CACM-0918 14 15
CACM-0919 16 17
CACM-0920 22 23
CACM-0921 19 19
CACM-0922 17 17
CACM-0923 17 17
CACM-0924 16 16
CACM-0925 23 24
CACM-0926 16 16
CACM-0927 25 26
CACM-0928 18 18
CACM-0929 15 15
CACM-0930 19 19
CACM-0931 22 24
CACM-0932 20 21
CACM-0933 18 18
CACM-0934 18 18
CACM-0935 20 20
CACM-0936 20 20
CACM-0937 23 24
CACM-0938 15 15
CACM-0939 18 18
CACM-0940 61 78
CACM-0941 50 63
CACM-0942 94 117
CACM-0943 19 19
CACM-0944 81 130
CACM-0945 22 22
CACM-0946 30 30
CACM-0947 19 19
CACM-0948 21 21
CACM-0949 66 84
CACM-0950 81 123
CACM-0951 44 54
CACM-0952 20 20
CACM-0953 18 19
CACM-0954 27 27
CACM-0955 22 22
CACM-0956 19 20
CACM-0957 21 21
CACM-0958 20 20
CACM-0959 20 20
CACM-0960 19 19
CACM-0961 43 53
CACM-0962 68 103
CACM-0963 52 74
CACM-0964 93 117
CACM-0965 20 20
CACM-0966 21 21
CACM-0967 21 21
CACM-0968 23 23
CACM-0969 17 17
CACM-0970 17 18
CACM-0971 63 84
CACM-0972 111 189
CACM-0973 71 102
CACM-0974 57 74
CACM-0975 28 29
CACM-0976 18 18
CACM-0977 25 25
CACM-0978 17 17
CACM-0979 22 22
CACM-0980 46 66
CACM-0981 65 100
CACM-0982 63 88
CACM-0983 22 23
CACM-0984 19 19
CACM-0985 17 17
CACM-0986 24 26
CACM-0987 24 26
CACM-0988 24 24
CACM-0989 19 19
CACM-0990 49 60
CACM-0991 22 22
CACM-0992 19 19
CACM-0993 19 19
CACM-0994 18 18
CACM-0995 17 17
CACM-0996 23 23
CACM-0997 19 19
CACM-0998 18 18
CACM-0999 17 17
CACM-1000 17 17
CACM-1001 72 117
CACM-1002 87 115
CACM-1003 140 252
CACM-1004 17 17
CACM-1005 20 20
CACM-1006 38 42
CACM-1007 43 48
CACM-1008 57 77
CACM-1009 38 43
CACM-1010 82 100
CACM-1011 22 22
CACM-1012 110 187
CACM-1013 68 87
CACM-1014 69 105
CACM-1015 54 78
CACM-1016 32 36
CACM-1017 26 26
CACM-1018 18 18
CACM-1019 20 20
CACM-1020 20 20
CACM-1021 20 20
CACM-1022 21 21
CACM-1023 22 22
CACM-1024 22 22
CACM-1025 78 117
CACM-1026 61 87
CACM-1027 18 18
CACM-1028 58 70
CACM-1029 91 141
CACM-1030 64 105
CACM-1031 41 50
CACM-1032 103 178
CACM-1033 103 143
CACM-1034 68 96
CACM-1035 73 106
CACM-1036 20 20
CACM-1037 24 24
CACM-1038 22 22
CACM-1039 22 22
CACM-1040 20 20
CACM-1041 18 18
CACM-1042 21 21
CACM-1043 56 71
CACM-1044 46 54
CACM-1045 50 65
CACM-1046 92 133
CACM-1047 52 63
CACM-1048 72 86
CACM-1049 70 99
CACM-1050 34 39
CACM-1051 102 152
CACM-1052 65 81
CACM-1053 30 40
CACM-1054 16 17
CACM-1055 21 22
CACM-1056 16 17
CACM-1057 18 19
CACM-1058 20 21
CACM-1059 16 18
CACM-1060 16 17
CACM-1061 16 17
CACM-1062 86 129
CACM-1063 20 21
CACM-1064 19 20
CACM-1065 26 29
CACM-1066 119 188
CACM-1067 59 68
CACM-1068 17 18
CACM-1069 25 25
CACM-1070 21 23
CACM-1071 61 82
CACM-1072 68 94
CACM-1073 33 42
CACM-1074 16 16
CACM-1075 17 17
CACM-1076 17 17
CACM-1077 18 18
CACM-1078 21 21
CACM-1079 20 20
CACM-1080 19 19
CACM-1081 19 19
CACM-1082 23 24
CACM-1083 79 108
CACM-1084 62 78
CACM-1085 21 22
CACM-1086 28 32
CACM-1087 50 60
CACM-1088 87 113
CACM-1089 18 19
CACM-1090 19 19
CACM-1091 21 22
CACM-1092 19 19
CACM-1093 19 19
CACM-1094 17 17
CACM-1095 18 19
CACM-1096 25 27
CACM-1097 36 40
CACM-1098 115 190
CACM-1099 132 205
CACM-1100 25 26
CACM-1101 25 26
CACM-1102 18 18
CACM-1103 18 19
CACM-1104 20 20
CACM-1105 18 18
CACM-1106 18 18
CACM-1107 17 17
CACM-1108 104 186
CACM-1109 49 64
CACM-1110 50 76
CACM-1111 50 70
CACM-1112 77 99
CACM-1113 88 125
CACM-1114 44 53
CACM-1115 48 53
CACM-1116 62 90
CACM-1117 66 101
CACM-1118 20 21
CACM-1119 20 21
CACM-1120 23 24
CACM-1121 48 54
CACM-1122 41 45
CACM-1123 16 17
CACM-1124 16 17
CACM-1125 15 16
CACM-1126 19 20
CACM-1127 16 17
CACM-1128 18 19
CACM-1129 18 19
CACM-1130 16 17
CACM-1131 20 20
CACM-1132 23 23
CACM-1133 22 23
CACM-1134 95 144
CACM-1135 163 264
CACM-1136 20 22
CACM-1137 16 17
CACM-1138 18 18
CACM-1139 20 20
CACM-1140 19 19
CACM-1141 18 18
CACM-1142 19 19
CACM-1143 123 202
CACM-1144 52 75
CACM-1145 129 180
CACM-1146 66 82
CACM-1147 68 105
CACM-1148 44 48
CACM-1149 20 20
CACM-1150 19 20
CACM-1151 21 21
CACM-1152 44 47
CACM-1153 48 56
CACM-1154 94 147
CACM-1155 123 214
CACM-1156 19 19
CACM-1157 23 23
CACM-1158 40 47
CACM-1159 94 125
CACM-1160 85 141
CACM-1161 92 139
CACM-1162 82 142
CACM-1163 58 67
CACM-1164 65 86
CACM-1165 69 104
CACM-1166 96 142
CACM-1167 56 74
CACM-1168 44 51
CACM-1169 105 174
CACM-1170 126 218
CACM-1171 79 120
CACM-1172 82 117
CACM-1173 62 101
CACM-1174 19 19
CACM-1175 18 18
CACM-1176 21 21
CACM-1177 18 18
CACM-1178 22 22
CACM-1179 96 134
CACM-1180 79 117
CACM-1181 62 74
CACM-1182 56 88
CACM-1183 50 65
CACM-1184 74 96
CACM-1185 60 79
CACM-1186 56 73
CACM-1187 20 21
CACM-1188 78 141
CACM-1189 19 20
CACM-1190 21 22
CACM-1191 18 19
CACM-1192 19 20
CACM-1193 16 18
CACM-1194 124 208
CACM-1195 79 115
CACM-1196 68 105
CACM-1197 103 151
CACM-1198 53 63
CACM-1199 76 108
CACM-1200 72 87
CACM-1201 23 23
CACM-1202 19 19
CACM-1203 17 17
CACM-1204 28 32
CACM-1205 27 28
CACM-1206 95 147
CACM-1207 19 20
CACM-1208 21 21
CACM-1209 26 26
CACM-1210 50 57
CACM-1211 39 45
CACM-1212 47 52
CACM-1213 38 44
CACM-1214 48 55
CACM-1215 56 69
CACM-1216 79 95
CACM-1217 23 23
CACM-1218 20 20
CACM-1219 23 24
CACM-1220 19 20
CACM-1221 18 20
CACM-1222 23 23
CACM-1223 105 155
CACM-1224 45 58
CACM-1225 70 101
CACM-1226 76 111
CACM-1227 17 17
CACM-1228 19 19
CACM-1229 19 19
CACM-1230 45 58
CACM-1231 40 43
CACM-1232 22 24
CACM-1233 49 79
CACM-1234 102 139
CACM-1235 123 171
CACM-1236 104 152
CACM-1237 68 99
CACM-1238 80 119
CACM-1239 18 18
CACM-1240 17 17
CACM-1241 19 19
CACM-1242 18 20
CACM-1243 28 31
CACM-1244 19 19
CACM-1245 17 17
CACM-1246 16 17
CACM-1247 70 95
CACM-1248 55 64
CACM-1249 26 26
CACM-1250 21 21
CACM-1251 32 44
CACM-1252 70 102
CACM-1253 70 102
CACM-1254 40 51
CACM-1255 75 92
CACM-1256 17 17
CACM-1257 80 99
CACM-1258 67 92
CACM-1259 65 85
CACM-1260 69 88
CACM-1261 75 111
CACM-1262 68 98
CACM-1263 39 48
CACM-1264 128 178
CACM-1265 104 183
CACM-1266 21 23
CACM-1267 71 115
CACM-1268 21 21
CACM-1269 19 19
