DocumentId Total_Terms Document_Length
CACM-0276 54 70
CACM-0277 23 23
CACM-0278 99 184
CACM-0279 20 20
CACM-0280 22 23
CACM-0281 51 58
CACM-0282 79 145
CACM-0283 18 18
CACM-0284 82 122
CACM-0285 21 21
CACM-0286 22 22
CACM-0287 20 20
CACM-0288 22 22
CACM-0289 19 19
CACM-0290 18 18
CACM-0291 21 21
CACM-0292 31 31
CACM-0293 23 24
CACM-0294 17 17
CACM-0295 21 24
CACM-0296 21 23
CACM-0297 23 23
CACM-0298 76 115
CACM-0299 18 19
CACM-0300 48 59
CACM-0301 21 21
CACM-0302 17 17
CACM-0303 49 66
CACM-0304 23 23
CACM-0305 16 16
CACM-0306 16 16
CACM-0307 18 18
CACM-0308 18 18
CACM-0309 18 18
CACM-0310 25 26
CACM-0311 19 19
CACM-0312 20 20
CACM-0313 22 22
CACM-0314 23 23
CACM-0315 18 18
CACM-0316 24 24
CACM-0317 24 24
CACM-0318 20 20
CACM-0319 68 111
CACM-0320 80 119
CACM-0321 132 224
CACM-0322 89 132
CACM-0323 22 22
CACM-0324 18 18
CACM-0325 22 22
CACM-0326 17 17
CACM-0327 26 27
CACM-0328 17 17
CACM-0329 80 126
CACM-0330 23 24
CACM-0331 23 23
CACM-0332 52 71
CACM-0333 29 30
CACM-0334 22 23
CACM-0335 67 95
CACM-0336 27 31
CACM-0337 20 20
CACM-0338 18 18
CACM-0339 23 23
CACM-0340 17 17
CACM-0341 17 17
CACM-0342 22 22
CACM-0343 23 23
CACM-0344 20 20
CACM-0345 22 22
CACM-0346 23 23
CACM-0347 23 23
CACM-0348 22 22
CACM-0349 19 19
CACM-0350 26 26
CACM-0351 23 25
CACM-0352 19 19
CACM-0353 21 21
CACM-0354 28 28
CACM-0355 21 21
CACM-0356 17 17
CACM-0357 20 20
CACM-0358 21 21
CACM-0359 17 17
CACM-0360 19 19
CACM-0361 21 21
CACM-0362 18 18
CACM-0363 20 20
CACM-0364 20 20
CACM-0365 22 22
CACM-0366 21 22
CACM-0367 53 84
CACM-0368 21 22
CACM-0369 19 20
CACM-0370 17 18
CACM-0371 22 27
CACM-0372 17 18
CACM-0373 19 20
CACM-0374 15 17
CACM-0375 16 17
CACM-0376 16 17
CACM-0377 16 17
CACM-0378 22 23
CACM-0379 14 15
CACM-0380 52 75
CACM-0381 19 20
CACM-0382 21 21
CACM-0383 23 23
CACM-0384 18 18
CACM-0385 17 17
CACM-0386 18 18
CACM-0387 18 18
CACM-0388 24 24
CACM-0389 18 18
CACM-0390 23 23
CACM-0391 20 21
CACM-0392 20 21
CACM-0393 25 27
CACM-0394 18 18
CACM-0395 16 16
CACM-0396 80 121
CACM-0397 89 172
CACM-0398 17 17
CACM-0399 27 28
CACM-0400 28 28
CACM-0401 21 21
CACM-0402 16 16
CACM-0403 26 27
CACM-0404 21 21
CACM-0405 48 52
CACM-0406 33 35
CACM-0407 23 24
CACM-0408 25 27
CACM-0409 89 133
CACM-0410 18 18
CACM-0411 25 25
CACM-0412 18 19
CACM-0413 22 23
CACM-0414 44 54
CACM-0415 22 22
CACM-0416 26 29
CACM-0417 77 110
CACM-0418 17 17
CACM-0419 19 19
CACM-0420 17 17
CACM-0421 21 21
CACM-0422 17 17
CACM-0423 18 18
CACM-0424 18 18
CACM-0425 19 19
CACM-0426 20 20
CACM-0427 16 16
CACM-0428 18 18
CACM-0429 23 23
CACM-0430 18 18
CACM-0431 18 18
CACM-0432 21 21
CACM-0433 22 23
CACM-0434 21 21
CACM-0435 85 123
CACM-0436 19 19
CACM-0437 18 20
CACM-0438 23 25
CACM-0439 28 28
CACM-0440 93 128
CACM-0441 98 158
CACM-0442 21 21
CACM-0443 23 23
CACM-0444 20 20
CACM-0445 17 17
CACM-0446 19 19
CACM-0447 19 20
CACM-0448 18 18
CACM-0449 18 18
CACM-0450 22 22
CACM-0451 22 23
CACM-0452 22 23
CACM-0453 18 19
CACM-0454 21 21
CACM-0455 19 19
CACM-0456 17 17
CACM-0457 21 22
CACM-0458 21 21
CACM-0459 18 18
CACM-0460 17 17
CACM-0461 24 25
CACM-0462 102 140
CACM-0463 20 20
CACM-0464 87 162
CACM-0465 17 17
CACM-0466 18 18
CACM-0467 20 20
CACM-0468 19 19
CACM-0469 18 18
CACM-0470 19 19
CACM-0471 16 17
CACM-0472 18 18
CACM-0473 16 16
CACM-0474 18 18
CACM-0475 20 20
CACM-0476 21 21
CACM-0477 22 22
CACM-0478 16 16
CACM-0479 44 65
CACM-0480 21 21
CACM-0481 29 29
CACM-0482 22 22
CACM-0483 43 59
CACM-0484 18 18
CACM-0485 22 22
CACM-0486 18 18
CACM-0487 16 16
CACM-0488 22 23
CACM-0489 24 26
CACM-0490 19 19
CACM-0491 27 28
CACM-0492 71 110
CACM-0493 23 23
CACM-0494 31 32
CACM-0495 89 139
CACM-0496 22 22
CACM-0497 102 190
CACM-0498 19 19
CACM-0499 18 18
CACM-0500 17 17
CACM-0501 17 17
CACM-0502 18 18
CACM-0503 23 23
CACM-0504 17 17
CACM-0505 18 18
CACM-0506 17 17
CACM-0507 21 21
CACM-0508 17 17
CACM-0509 17 17
CACM-0510 21 21
CACM-0511 21 21
CACM-0512 19 19
CACM-0513 17 17
CACM-0514 17 17
CACM-0515 22 22
CACM-0516 18 18
CACM-0517 21 21
CACM-0518 20 20
CACM-0519 20 20
CACM-0520 18 18
CACM-0521 17 17
CACM-0522 20 20
CACM-0523 17 17
CACM-0524 21 21
CACM-0525 22 22
CACM-0526 18 18
CACM-0527 69 133
CACM-0528 19 19
CACM-0529 24 24
CACM-0530 23 23
CACM-0531 134 220
CACM-0532 25 25
CACM-0533 102 167
CACM-0534 20 20
CACM-0535 26 26
CACM-0536 86 152
CACM-0537 37 39
CACM-0538 26 26
CACM-0539 23 23
CACM-0540 22 23
CACM-0541 18 19
CACM-0542 17 17
CACM-0543 19 19
CACM-0544 20 20
CACM-0545 25 25
CACM-0546 23 23
CACM-0547 20 20
CACM-0548 22 23
CACM-0549 24 24
CACM-0550 23 23
CACM-0551 22 23
CACM-0552 19 19
CACM-0553 24 24
CACM-0554 20 20
CACM-0555 18 18
CACM-0556 20 22
CACM-0557 16 16
CACM-0558 68 111
CACM-0559 21 21
CACM-0560 18 18
CACM-0561 22 23
CACM-0562 17 17
CACM-0563 17 17
CACM-0564 16 17
CACM-0565 16 16
CACM-0566 18 18
CACM-0567 20 21
CACM-0568 20 21
CACM-0569 17 17
CACM-0570 20 20
CACM-0571 22 22
CACM-0572 22 22
CACM-0573 22 22
CACM-0574 23 23
CACM-0575 22 22
CACM-0576 18 18
CACM-0577 16 16
CACM-0578 22 22
CACM-0579 16 16
CACM-0580 19 19
CACM-0581 20 21
CACM-0582 17 17
CACM-0583 21 21
CACM-0584 21 21
CACM-0585 126 192
CACM-0586 24 24
CACM-0587 18 18
CACM-0588 18 18
CACM-0589 22 22
CACM-0590 22 22
CACM-0591 27 27
CACM-0592 17 17
CACM-0593 22 22
CACM-0594 22 23
CACM-0595 83 118
CACM-0596 43 57
CACM-0597 21 21
CACM-0598 47 64
CACM-0599 19 19
CACM-0600 22 22
CACM-0601 25 25
CACM-0602 16 16
CACM-0603 19 19
CACM-0604 16 16
CACM-0605 68 98
CACM-0606 26 26
CACM-0607 17 17
CACM-0608 21 21
CACM-0609 17 17
CACM-0610 16 17
CACM-0611 17 18
CACM-0612 21 21
CACM-0613 17 17
CACM-0614 19 19
CACM-0615 77 138
CACM-0616 152 257
CACM-0617 56 74
CACM-0618 41 50
CACM-0619 103 157
CACM-0620 16 17
CACM-0621 18 19
CACM-0622 19 20
CACM-0623 19 20
CACM-0624 19 20
CACM-0625 20 21
CACM-0626 30 39
CACM-0627 15 16
CACM-0628 22 25
CACM-0629 22 23
CACM-0630 61 85
CACM-0631 22 23
CACM-0632 26 28
CACM-0633 29 32
CACM-0634 19 19
CACM-0635 19 20
CACM-0636 19 19
CACM-0637 98 171
CACM-0638 23 23
CACM-0639 19 19
CACM-0640 22 22
CACM-0641 20 20
CACM-0642 18 18
CACM-0643 26 28
CACM-0644 75 130
CACM-0645 19 19
CACM-0646 23 24
CACM-0647 22 22
CACM-0648 17 17
CACM-0649 18 18
CACM-0650 21 21
CACM-0651 22 22
CACM-0652 21 21
CACM-0653 28 28
CACM-0654 21 21
CACM-0655 54 66
CACM-0656 25 25
CACM-0657 23 23
CACM-0658 28 29
CACM-0659 20 20
CACM-0660 22 22
CACM-0661 34 38
CACM-0662 18 18
CACM-0663 16 16
CACM-0664 17 17
CACM-0665 18 18
CACM-0666 21 21
CACM-0667 18 18
CACM-0668 20 20
CACM-0669 18 18
CACM-0670 147 243
CACM-0671 69 126
CACM-0672 21 21
CACM-0673 19 19
CACM-0674 31 34
CACM-0675 120 197
CACM-0676 23 24
CACM-0677 73 108
CACM-0678 57 89
CACM-0679 75 130
CACM-0680 19 19
CACM-0681 24 24
CACM-0682 19 19
CACM-0683 21 21
CACM-0684 20 20
CACM-0685 19 19
CACM-0686 16 16
CACM-0687 18 18
CACM-0688 23 23
CACM-0689 35 40
CACM-0690 24 24
CACM-0691 55 71
CACM-0692 21 21
CACM-0693 54 71
CACM-0694 43 66
CACM-0695 124 203
CACM-0696 97 164
CACM-0697 32 33
CACM-0698 62 87
CACM-0699 55 70
CACM-0700 18 18
CACM-0701 18 18
CACM-0702 18 18
CACM-0703 17 17
CACM-0704 29 35
CACM-0705 25 25
CACM-0706 19 19
CACM-0707 17 17
CACM-0708 22 22
CACM-0709 16 16
CACM-0710 18 18
CACM-0711 18 18
CACM-0712 18 18
CACM-0713 18 18
CACM-0714 16 16
CACM-0715 19 19
CACM-0716 16 16
CACM-0717 49 84
CACM-0718 37 41
CACM-0719 72 105
CACM-0720 23 25
CACM-0721 43 62
CACM-0722 17 17
CACM-0723 16 16
CACM-0724 127 217
CACM-0725 18 18
CACM-0726 50 63
CACM-0727 56 75
CACM-0728 73 95
CACM-0729 17 17
CACM-0730 68 105
CACM-0731 71 109
CACM-0732 19 19
CACM-0733 22 23
CACM-0734 23 23
CACM-0735 22 22
CACM-0736 20 20
CACM-0737 19 19
CACM-0738 18 18
CACM-0739 17 17
CACM-0740 17 17
CACM-0741 19 19
CACM-0742 19 19
CACM-0743 16 16
CACM-0744 18 18
CACM-0745 17 17
CACM-0746 17 17
CACM-0747 22 22
CACM-0748 24 24
CACM-0749 17 17
CACM-0750 18 18
CACM-0751 23 24
CACM-0752 19 19
CACM-0753 28 28
CACM-0754 17 17
CACM-0755 69 100
CACM-0756 22 23
CACM-0757 19 19
CACM-0758 40 51
CACM-0759 62 91
CACM-0760 17 17
CACM-0761 53 68
CACM-0762 23 23
CACM-0763 28 28
CACM-0764 23 23
CACM-0765 22 22
CACM-0766 19 19
CACM-0767 37 47
CACM-0768 34 37
CACM-0769 19 19
CACM-0770 20 20
CACM-0771 20 20
CACM-0772 19 20
CACM-0773 17 17
CACM-0774 16 16
CACM-0775 20 20
CACM-0776 24 24
CACM-0777 20 20
CACM-0778 27 27
CACM-0779 20 20
CACM-0780 26 27
CACM-0781 18 18
CACM-0782 18 18
CACM-0783 16 16
CACM-0784 17 17
CACM-0785 24 24
CACM-0786 20 21
CACM-0787 17 17
CACM-0788 26 26
CACM-0789 17 17
CACM-0790 16 16
CACM-0791 18 19
CACM-0792 28 29
CACM-0793 17 17
CACM-0794 51 69
CACM-0795 22 23
CACM-0796 130 212
CACM-0797 17 17
CACM-0798 19 19
CACM-0799 54 77
CACM-0800 24 27
CACM-0801 20 21
CACM-0802 15 15
CACM-0803 17 17
CACM-0804 20 20
CACM-0805 17 17
CACM-0806 20 20
CACM-0807 19 19
CACM-0808 18 18
CACM-0809 17 17
CACM-0810 18 18
CACM-0811 18 18
CACM-0812 18 18
CACM-0813 20 20
CACM-0814 19 19
CACM-0815 20 20
CACM-0816 20 20
CACM-0817 16 16
CACM-0818 23 23
CACM-0819 17 17
CACM-0820 19 19
CACM-0821 22 22
CACM-0822 38 48
CACM-0823 24 24
CACM-0824 74 123
CACM-0825 64 87
CACM-0826 22 22
CACM-0827 29 30
CACM-0828 34 41
CACM-0829 24 25
CACM-0830 21 22
CACM-0831 21 21
CACM-0832 19 19
CACM-0833 22 22
CACM-0834 20 21
CACM-0835 22 22
CACM-0836 21 21
CACM-0837 19 19
CACM-0838 19 19
CACM-0839 21 21
CACM-0840 20 20
CACM-0841 21 21
CACM-0842 21 24
CACM-0843 16 16
CACM-0844 18 18
CACM-0845 20 20
CACM-0846 18 18
CACM-0847 29 34
CACM-0848 64 86
CACM-0849 89 188
CACM-0850 55 75
CACM-0851 73 117
CACM-0852 22 24
CACM-0853 18 18
CACM-0854 87 166
CACM-0855 70 124
CACM-0856 59 85
CACM-0857 37 46
CACM-0858 57 85
CACM-0859 16 16
CACM-0860 48 72
CACM-0861 63 107
CACM-0862 21 21
CACM-0863 15 16
CACM-0864 21 21
CACM-0865 74 113
CACM-0866 16 17
CACM-0867 91 152
CACM-0868 28 29
CACM-0869 19 19
CACM-0870 21 21
CACM-0871 18 18
CACM-0872 23 23
CACM-0873 18 18
CACM-0874 18 18
CACM-0875 21 21
CACM-0876 18 19
CACM-0877 24 24
CACM-0878 23 23
CACM-0879 23 23
CACM-0880 21 21
CACM-0881 22 22
CACM-0882 18 18
CACM-0883 20 20
CACM-0884 27 28
CACM-0885 19 19
CACM-0886 19 19
CACM-0887 31 38
CACM-0888 27 28
CACM-0889 21 21
CACM-0890 34 40
CACM-0891 76 110
CACM-0892 59 87
CACM-0893 66 95
CACM-0894 70 104
CACM-0895 29 39
CACM-0896 20 21
CACM-0897 27 30
CACM-0898 16 17
CACM-0899 18 19
CACM-0900 17 18
CACM-0901 18 19
CACM-0902 16 17
CACM-0903 18 19
CACM-0904 18 19
CACM-0905 18 19
CACM-0906 19 20
CACM-0907 19 20
CACM-0908 17 18
CACM-0909 18 19
CACM-0910 19 20
CACM-0911 19 20
CACM-0912 26 27
CACM-0913 14 15
CACM-0914 17 18
CACM-0915 16 17
CACM-0916 14 15
CACM-0917 14 15
CACM-0918 14 15
CACM-0919 16 17
CACM-0920 22 23
CACM-0921 19 19
CACM-0922 17 17
CACM-0923 17 17
CACM-0924 16 16
CACM-0925 23 24
CACM-0926 16 16
CACM-0927 25 26
CACM-0928 18 18
CACM-0929 15 15
CACM-0930 21 21
CACM-0931 22 24
CACM-0932 21 22
CACM-0933 18 18
CACM-0934 18 18
CACM-0935 20 20
CACM-0936 20 20
CACM-0937 23 24
CACM-0938 16 16
CACM-0939 18 18
CACM-0940 59 78
CACM-0941 50 65
CACM-0942 93 118
CACM-0943 19 19
CACM-0944 78 132
CACM-0945 22 22
CACM-0946 31 31
CACM-0947 19 19
CACM-0948 21 21
CACM-0949 67 86
CACM-0950 75 124
CACM-0951 42 54
CACM-0952 20 20
CACM-0953 18 19
CACM-0954 28 28
CACM-0955 22 22
CACM-0956 19 20
CACM-0957 21 21
CACM-0958 20 20
CACM-0959 22 22
CACM-0960 19 19
CACM-0961 41 53
CACM-0962 67 110
CACM-0963 51 76
CACM-0964 90 119
CACM-0965 20 20
CACM-0966 21 21
CACM-0967 21 21
CACM-0968 25 25
CACM-0969 17 17
CACM-0970 17 18
CACM-0971 61 87
CACM-0972 107 191
CACM-0973 70 105
CACM-0974 57 74
CACM-0975 28 29
CACM-0976 18 18
CACM-0977 25 25
CACM-0978 18 18
CACM-0979 22 22
CACM-0980 49 71
CACM-0981 60 100
CACM-0982 61 88
CACM-0983 24 25
CACM-0984 20 20
CACM-0985 17 17
CACM-0986 25 27
CACM-0987 24 26
CACM-0988 24 24
CACM-0989 19 19
CACM-0990 49 61
CACM-0991 22 22
CACM-0992 19 19
CACM-0993 19 19
CACM-0994 18 18
CACM-0995 17 17
CACM-0996 23 23
CACM-0997 19 19
CACM-0998 18 18
CACM-0999 17 17
CACM-1000 17 17
CACM-1001 70 118
CACM-1002 84 119
CACM-1003 133 253
CACM-1004 17 17
CACM-1005 20 20
CACM-1006 40 44
CACM-1007 43 48
CACM-1008 55 77
CACM-1009 39 44
CACM-1010 80 102
CACM-1011 22 22
CACM-1012 108 193
CACM-1013 65 87
CACM-1014 66 105
CACM-1015 54 81
CACM-1016 33 38
CACM-1017 28 29
CACM-1018 18 18
CACM-1019 20 20
CACM-1020 20 20
CACM-1021 20 20
CACM-1022 21 21
CACM-1023 22 22
CACM-1024 22 22
CACM-1025 75 118
CACM-1026 59 91
CACM-1027 18 18
CACM-1028 56 70
CACM-1029 85 142
CACM-1030 59 105
CACM-1031 40 51
CACM-1032 97 180
CACM-1033 98 147
CACM-1034 67 97
CACM-1035 71 106
CACM-1036 20 20
CACM-1037 24 24
CACM-1038 22 22
CACM-1039 22 22
CACM-1040 20 20
CACM-1041 18 18
CACM-1042 22 22
CACM-1043 54 76
CACM-1044 45 55
CACM-1045 48 65
CACM-1046 92 134
CACM-1047 50 63
CACM-1048 69 88
CACM-1049 68 105
CACM-1050 32 39
CACM-1051 96 155
CACM-1052 62 81
CACM-1053 31 42
CACM-1054 17 18
CACM-1055 22 23
CACM-1056 16 17
CACM-1057 18 19
CACM-1058 20 21
CACM-1059 16 18
CACM-1060 16 17
CACM-1061 16 17
CACM-1062 85 131
CACM-1063 21 22
CACM-1064 19 20
CACM-1065 27 31
CACM-1066 118 189
CACM-1067 58 69
CACM-1068 19 20
CACM-1069 25 25
CACM-1070 22 24
CACM-1071 57 87
CACM-1072 66 94
CACM-1073 33 42
CACM-1074 16 16
CACM-1075 17 17
CACM-1076 17 17
CACM-1077 18 18
CACM-1078 21 21
CACM-1079 21 21
CACM-1080 19 19
CACM-1081 19 19
CACM-1082 23 24
CACM-1083 79 113
CACM-1084 60 82
CACM-1085 22 23
CACM-1086 29 33
CACM-1087 48 60
CACM-1088 85 115
CACM-1089 18 19
CACM-1090 19 19
CACM-1091 21 22
CACM-1092 19 19
CACM-1093 19 19
CACM-1094 17 17
CACM-1095 18 19
CACM-1096 25 27
CACM-1097 35 40
CACM-1098 115 199
CACM-1099 129 205
CACM-1100 25 26
CACM-1101 25 26
CACM-1102 18 18
CACM-1103 18 19
CACM-1104 20 20
CACM-1105 18 18
CACM-1106 18 18
CACM-1107 17 17
CACM-1108 100 186
CACM-1109 49 64
CACM-1110 49 76
CACM-1111 48 70
CACM-1112 72 100
CACM-1113 87 128
CACM-1114 43 54
CACM-1115 46 53
CACM-1116 59 90
CACM-1117 60 101
CACM-1118 20 21
CACM-1119 21 22
CACM-1120 23 24
CACM-1121 47 54
CACM-1122 39 45
CACM-1123 16 17
CACM-1124 16 17
CACM-1125 15 16
CACM-1126 19 20
CACM-1127 16 17
CACM-1128 18 19
CACM-1129 18 19
CACM-1130 16 17
CACM-1131 20 20
CACM-1132 23 23
CACM-1133 22 23
CACM-1134 90 144
CACM-1135 148 272
CACM-1136 20 22
CACM-1137 16 17
CACM-1138 18 18
CACM-1139 20 20
CACM-1140 19 19
CACM-1141 18 18
CACM-1142 20 20
CACM-1143 117 204
CACM-1144 50 75
CACM-1145 122 185
CACM-1146 65 85
CACM-1147 65 106
CACM-1148 43 50
CACM-1149 20 20
CACM-1150 20 21
CACM-1151 21 21
CACM-1152 44 48
CACM-1153 46 56
CACM-1154 93 151
CACM-1155 111 217
CACM-1156 19 19
CACM-1157 23 23
CACM-1158 41 48
CACM-1159 88 126
CACM-1160 83 143
CACM-1161 91 140
CACM-1162 76 146
CACM-1163 59 68
CACM-1164 63 86
CACM-1165 68 105
CACM-1166 88 145
CACM-1167 56 76
CACM-1168 47 54
CACM-1169 97 174
CACM-1170 121 220
CACM-1171 78 125
CACM-1172 76 119
CACM-1173 58 101
CACM-1174 19 19
CACM-1175 18 18
CACM-1176 21 21
CACM-1177 18 18
CACM-1178 22 22
CACM-1179 97 138
CACM-1180 72 117
CACM-1181 64 77
CACM-1182 52 88
CACM-1183 50 67
CACM-1184 74 98
CACM-1185 56 81
CACM-1186 55 73
CACM-1187 21 22
CACM-1188 75 143
CACM-1189 19 20
CACM-1190 22 23
CACM-1191 18 19
CACM-1192 19 20
CACM-1193 16 18
CACM-1194 113 209
CACM-1195 80 118
CACM-1196 67 105
CACM-1197 99 156
CACM-1198 54 64
CACM-1199 71 108
CACM-1200 69 87
CACM-1201 24 24
CACM-1202 19 19
CACM-1203 17 17
CACM-1204 30 34
CACM-1205 27 29
CACM-1206 94 150
CACM-1207 19 20
CACM-1208 21 21
CACM-1209 26 26
CACM-1210 49 58
CACM-1211 39 45
CACM-1212 49 55
CACM-1213 38 44
CACM-1214 47 55
CACM-1215 56 69
CACM-1216 74 96
CACM-1217 23 23
CACM-1218 20 20
CACM-1219 23 24
CACM-1220 19 20
CACM-1221 18 20
CACM-1222 23 23
CACM-1223 103 158
CACM-1224 45 58
CACM-1225 70 101
CACM-1226 70 111
CACM-1227 17 17
CACM-1228 19 19
CACM-1229 19 19
CACM-1230 44 58
CACM-1231 39 43
CACM-1232 22 24
CACM-1233 48 79
CACM-1234 99 144
CACM-1235 116 174
CACM-1236 96 153
CACM-1237 67 103
CACM-1238 77 120
CACM-1239 18 18
CACM-1240 17 17
CACM-1241 19 19
CACM-1242 18 20
CACM-1243 28 31
CACM-1244 19 19
CACM-1245 18 18
CACM-1246 16 17
CACM-1247 67 96
CACM-1248 53 65
CACM-1249 26 26
CACM-1250 22 22
CACM-1251 31 44
CACM-1252 69 103
CACM-1253 66 104
CACM-1254 40 51
CACM-1255 73 92
CACM-1256 17 17
CACM-1257 78 104
CACM-1258 68 94
CACM-1259 63 85
CACM-1260 70 90
CACM-1261 72 115
CACM-1262 67 101
CACM-1263 38 48
CACM-1264 117 181
CACM-1265 98 188
CACM-1266 20 23
CACM-1267 67 115
CACM-1268 21 21
CACM-1269 19 19
